id,date,category,energy,range,color,papers,transmission,price,offer,wilaya,town,brand,model,year,volume,horses,radar de recul,toit ouvrant,alarme,direction assisstée,climatisation,jantes alliage,esp,vitres éléctriques,retroviseurs électriques,phares antibrouillard,phares xénon,feux du jour,abs
27647574,27-07-2021,citadine,essence,222000,noir,carte grise (safia),manuelle,136.0,offert,khenchela,khenchela,peugeot,207,2012,1.6,125.0,1,0,1,1,1,1,1,1,0,1,1,0,1
27655930,27-07-2021,berline,gpl,68000,gris,carte grise (safia),manuelle,295.0,fixe,tipaza,fouka,skoda,rapid,2019,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0
27655926,27-07-2021,camionnette,essence,1,blanc,carte grise (safia),manuelle,80.0,fixe,oran,bir el djir,dfsk,k01h,2015,1.4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0
18932296,27-07-2021,berline,diesel,260000,gris,carte grise (safia),manuelle,138.0,négociable,tebessa,tebessa,mercedes benz,classe,2006,1.5,85.0,1,1,0,1,1,1,1,1,1,1,1,0,1
27643749,27-07-2021,camionnette,essence,108000,blanc,carte grise (safia),manuelle,97.0,offert,blida,bougara,dfsk,mini,2015,1.2,80.0,1,1,1,1,1,1,1,1,1,1,0,1,1
27141423,27-07-2021,tout terrain - suv,diesel,308000,gris,carte grise (safia),manuelle,146.0,offert,alger,birkhadem,toyota,rav4,2010,1.6,105.0,0,1,1,1,1,1,1,1,1,1,0,1,1
26863708,27-07-2021,break - familiale,diesel,65000,blanc,carte grise (safia),automatique,347.0,offert,setif,setif,kia,carens,2016,1.5,90.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27027001,27-07-2021,citadine,diesel,118000,blanc,carte grise (safia),manuelle,258.0,négociable,oum el bouaghi,oum el bouaghi,peugeot,208,2017,1.2,72.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27247187,27-07-2021,mini citadine,essence,96000,blanc,carte grise (safia),manuelle,160.0,fixe,setif,el eulma,hyundai,i10,2016,2.2,204.0,0,0,0,1,1,0,0,1,0,0,0,0,0
25964512,27-07-2021,camionnette,essence,100412,blanc,carte grise (safia),manuelle,58.0,négociable,djelfa,hassi bahbah,dfsk,dfsk,2007,1.1,,0,0,0,1,0,0,0,0,0,1,0,0,0
27655917,27-07-2021,berline,gpl,585,gris,carte grise (safia),manuelle,87.0,négociable,laghouat,laghouat,chevrolet,aveo,2008,0.9,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27064694,27-07-2021,pickup,diesel,3,aubergine,carte grise (safia),manuelle,140.0,négociable,tizi ouzou,tizi ouzou,mitsubishi,l200,2005,2.0,140.0,0,0,1,1,1,1,0,1,1,1,0,0,1
27639158,27-07-2021,citadine,diesel,439000,gris,carte grise (safia),manuelle,109.0,fixe,alger,ain benian,renault,clio,2010,1.2,75.0,0,0,1,1,1,0,1,1,1,1,0,0,1
27655912,27-07-2021,fourgonnette,essence,1,blanc,carte grise (safia),manuelle,80.0,fixe,oran,bir el djir,dfsk,v21,2012,1.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27646860,27-07-2021,moyenne berline,diesel,239000,blanc,carte grise (safia),manuelle,180.0,offert,alger,hussein dey,volkswagen,golf,2013,1.4,70.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27633712,27-07-2021,berline,essence,10000,noir,carte grise (safia),manuelle,45.0,négociable,alger,ben aknoun,kia,shuma,2001,1.9,105.0,0,0,1,1,0,0,0,1,0,0,0,0,0
27540701,27-07-2021,citadine,essence,191000,blanc,carte grise (safia),manuelle,129.0,offert,oum el bouaghi,ain kercha,peugeot,207,2012,2.0,280.0,1,0,1,1,1,1,1,1,1,0,0,0,1
27655907,27-07-2021,camionnette,essence,1,blanc,carte grise (safia),manuelle,80.0,fixe,oran,bir el djir,hafei motors,new,2012,0.8,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27389260,27-07-2021,citadine,diesel,5444,noir,carte grise (safia),manuelle,46.0,fixe,jijel,taher,volkswagen,polo,2004,1.2,75.0,0,0,0,1,1,1,0,1,0,0,0,0,0
27630953,27-07-2021,citadine,essence,265000,rouge,carte grise (safia),automatique,111.0,négociable,sidi bel abbes,sidi bel abbes,volkswagen,golf,1995,1.5,100.0,0,0,0,1,1,1,0,1,0,0,0,0,0
27120033,27-07-2021,moyenne berline,diesel,308000,gris,carte grise (safia),manuelle,100.0,offert,batna,arris,ford,focus,2009,1.4,70.0,0,0,0,1,1,0,0,1,0,0,0,0,1
27596158,27-07-2021,berline,diesel,49000,gris,carte grise (safia),automatique,455.0,négociable,ain defla,rouina,skoda,octavia,2017,1.9,105.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27636950,27-07-2021,citadine,diesel,5000,noir,licence moudjahid / délai,automatique,637.0,offert,batna,batna,volkswagen,golf,2020,2.0,280.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27322801,27-07-2021,grande berline,gpl,111111,noir,carte grise (safia),manuelle,35.0,fixe,bordj bou arreridj,ras el oued,volkswagen,passat,1992,0.8,47.0,0,0,0,1,0,0,0,0,0,0,0,0,0
27499271,27-07-2021,moyenne berline,essence,49500,blanc,carte grise (safia),automatique,246.0,offert,alger,dar el beida,ford,focus,2013,1.6,110.0,1,1,1,1,1,1,1,1,1,1,0,1,1
27511047,27-07-2021,camionnette,essence,185000,blanc,carte grise (safia),manuelle,65.0,fixe,constantine,el khroub,dfsk,mini,2011,1.3,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27189688,27-07-2021,citadine,essence,168000,blanc,carte grise (safia),manuelle,165.0,négociable,ouargla,touggourt,seat,ibiza,2012,,,0,0,1,1,1,1,1,1,1,1,0,0,1
27655894,27-07-2021,berline,diesel,90000,gris,carte grise (safia),manuelle,210.0,offert,mostaganem,mostaganem,renault,symbol,2018,2.0,235.0,1,0,0,1,1,1,0,1,1,1,0,1,1
27543055,27-07-2021,citadine,essence,1111111,gris,carte grise (safia),manuelle,42.0,négociable,boumerdes,issers,fiat,punto,2000,1.6,,0,0,0,0,0,0,0,0,0,0,0,0,0
27655891,27-07-2021,moyenne berline,diesel,198000,gris,carte grise (safia),manuelle,163.0,offert,alger,el mouradia,volkswagen,golf,2011,1.1,,1,1,0,1,1,1,1,1,1,0,0,1,1
27447957,27-07-2021,commerciale,diesel,176,gris,carte grise (safia),manuelle,432.0,fixe,tlemcen,ghazaouet,renault,kangoo,2021,1.5,90.0,0,0,1,1,1,1,1,1,1,1,1,1,1
27532723,27-07-2021,berline,essence,33000,gris,carte grise (safia),manuelle,320.0,négociable,mascara,mascara,skoda,rapid,2019,2.0,280.0,1,0,1,1,1,1,1,1,1,1,1,1,1
22940860,27-07-2021,moyenne berline,diesel,320000,gris,carte grise (safia),manuelle,90.0,fixe,khenchela,khenchela,volkswagen,golf,2006,1.4,95.0,1,0,1,1,1,1,1,1,1,1,0,0,1
27655890,27-07-2021,berline,essence,181000,blanc,carte grise (safia),manuelle,101.0,offert,tebessa,tebessa,peugeot,301,2013,2.0,178.0,0,0,0,1,1,0,1,1,0,1,0,1,1
27476369,27-07-2021,grande berline,diesel,170000,blanc,carte grise (safia),automatique,222.0,offert,constantine,constantine,peugeot,508,2013,1.1,60.0,1,1,1,1,1,1,1,1,1,1,1,1,1
